"Gemeinde_Nr","Gemeinde_Name","Tierversuche_Ja_Anteil","Tierversuche_Nein_Anteil","Tierversuche_Text","Tabakwerbung_Ja_Anteil","Tabakwerbung_Nein_Anteil","Tabakwerbung_Text","Stempelabgaben_Ja_Anteil","Stempelabgaben_Nein_Anteil","Stempelabgaben_Text","Medien_Ja_Anteil","Medien_Nein_Anteil","Medien_Text"
29,"Flurlingen ZH",18.5,81.5,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Flurlingen: Mit 450 Nein-Stimmen zu 102 Ja-Stimmen oder 81,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Flurlingen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 52,5 Prozent.",54.5,45.5,"54,5 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Flurlingen seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 75 Prozent ein Verbot der Tabakwerbung abgelehnt.",43.8,56.2,"In Flurlingen ist das Bundesgesetz über die Stempelabgaben mit 56,2 Prozent gescheitert.",48.6,51.4,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Flurlingen: Mit 280 Nein-Stimmen zu 265 Ja-Stimmen oder 51,4 Prozent hat die Gemeinde die Vorlage verworfen."
30,"Andelfingen ZH",17.2,82.8,"82,8 Prozent der Stimmbürgerinnen und Stimmbürger von Andelfingen sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Andelfingen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 52 Prozent.",55,45,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Andelfingen: Mit 55 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Andelfingen seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 74,7 Prozent ein Verbot der Tabakwerbung abgelehnt.",41.6,58.4,"58,4 der Stimmbürgerinnen und Stimmbürger von Andelfingen haben das Bundesgesetz über die Stempelabgaben abgelehnt.",46.7,53.3,"53,3 Prozent der Stimmbürgerinnen und Stimmbürger von Andelfingen sagen Nein zum Massnahmenpaket zugunsten der Medien."
31,"Henggart ZH",18.1,81.9,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Henggart: Mit 704 Nein-Stimmen zu 156 Ja-Stimmen oder 81,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Henggart die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 53,9 Prozent.",49.5,50.5,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Henggart: Mit 437 Nein-Stimmen zu 429 Ja-Stimmen oder 50,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Henggart im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 76,5 Prozent.",40.4,59.6,"In Henggart ist das Bundesgesetz über die Stempelabgaben mit 59,6 Prozent gescheitert.",45.3,54.7,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Henggart: Mit 468 Nein-Stimmen zu 387 Ja-Stimmen oder 54,7 Prozent hat die Gemeinde die Vorlage verworfen."
32,"Humlikon ZH",23.7,76.3,"Nein zum Tier- und Menschenversuchsverbot in Humlikon: Mit 132 Nein- zu 41 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 76,3 Prozent. Damit hat in Humlikon die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 56,5 Prozent.",56.8,43.2,"56,8 Prozent der Stimmbürgerinnen und Stimmbürger von Humlikon haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Humlikon seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 80 Prozent ein Verbot der Tabakwerbung abgelehnt.",55,45,"Ja zum Bundesgesetz über die Stempelabgaben in Humlikon. Die Gemeinde hat das Bundesgesetz über die Stempelabgaben mit 55 Prozent der Stimmen angenommen.",33.3,66.7,"Nein zum Massnahmenpaket zugunsten der Medien in Humlikon: Mit 116 Nein- zu 58 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 66,7 Prozent."
33,"Kleinandelfingen ZH",18.4,81.6,"81,6 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Kleinandelfingen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 51,6 Prozent.",48,52,"52 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Kleinandelfingen im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 76,6 Prozent.",35.9,64.1,"64,1 der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen haben das Bundesgesetz über die Stempelabgaben abgelehnt.",40.7,59.3,"59,3 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen sagen Nein zum Massnahmenpaket zugunsten der Medien."
34,"Laufen-Uhwiesen ZH",20.5,79.5,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Laufen-Uhwiesen: Mit 532 Nein-Stimmen zu 137 Ja-Stimmen oder 79,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Laufen-Uhwiesen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 51,9 Prozent.",46,54,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Laufen-Uhwiesen: Mit 361 Nein-Stimmen zu 308 Ja-Stimmen oder 54 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Laufen-Uhwiesen im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 79,4 Prozent.",43.6,56.4,"In Laufen-Uhwiesen ist das Bundesgesetz über die Stempelabgaben mit 56,4 Prozent gescheitert.",39.9,60.1,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Laufen-Uhwiesen: Mit 398 Nein-Stimmen zu 264 Ja-Stimmen oder 60,1 Prozent hat die Gemeinde die Vorlage verworfen."
35,"Marthalen ZH",18.6,81.4,"81,4 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Marthalen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 51 Prozent.",47.7,52.3,"52,3 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Marthalen im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 75,8 Prozent.",40.2,59.8,"59,8 der Stimmbürgerinnen und Stimmbürger von Marthalen haben das Bundesgesetz über die Stempelabgaben abgelehnt.",36.2,63.8,"63,8 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen sagen Nein zum Massnahmenpaket zugunsten der Medien."
37,"Ossingen ZH",22.8,77.2,"Ossingen hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 77,2 Prozent abgelehnt. Damit hat in Ossingen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 58,6 Prozent.",50.4,49.6,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Ossingen. Die Gemeinde hat das Volksbegehren mit 50,4 Prozent der Stimmen angenommen. Damit hat in Ossingen seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 80 Prozent ein Verbot der Tabakwerbung abgelehnt.",41.5,58.5,"Ossingen hat das Bundesgesetz über die Stempelabgaben mit 58,5 Prozent Nein-Stimmen verworfen.",39.8,60.2,"Ossingen hat das Massnahmenpaket zugunsten der Medien mit 60,2 Prozent abgelehnt."
38,"Rheinau ZH",26.4,73.6,"In Rheinau hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 73,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat Rheinau seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 55,2 Prozent ein Ja in die Urne gelegt.",54.3,45.7,"Die Gemeinde Rheinau hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 54,3 Prozent Ja-Stimmen angenommen. Damit hat in Rheinau seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 73,8 Prozent ein Verbot der Tabakwerbung abgelehnt.",30.4,69.6,"Rheinau ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 69,6 Prozent Nein verworfen.",42.2,57.8,"In Rheinau hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 57,8 Prozent der abgegebenen Stimmzettel stand ein Nein."
39,"Thalheim an der Thur ZH",24.9,75.1,"In Thalheim an der Thur hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 75,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Thalheim an der Thur die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 61,5 Prozent.",46,54,"In Thalheim an der Thur hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" keine Mehrheit gefunden. Auf 54 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Thalheim an der Thur im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 81 Prozent.",36.7,63.3,"Thalheim an der Thur ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 63,3 Prozent Nein verworfen.",33.3,66.7,"In Thalheim an der Thur hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 66,7 Prozent der abgegebenen Stimmzettel stand ein Nein."
40,"Trüllikon ZH",21.1,78.9,"Nein zum Tier- und Menschenversuchsverbot in Trüllikon: Mit 314 Nein- zu 84 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 78,9 Prozent. Damit hat in Trüllikon die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 57,1 Prozent.",47.2,52.8,"Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Trüllikon: Mit 215 Nein- zu 192 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 52,8 Prozent. Damit sind in Trüllikon im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 77,9 Prozent.",43.7,56.3,"In Trüllikon hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 56,3 Prozent haben die Vorlage abgelehnt.",36.4,63.6,"Nein zum Massnahmenpaket zugunsten der Medien in Trüllikon: Mit 255 Nein- zu 146 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 63,6 Prozent."
41,"Truttikon ZH",16.4,83.6,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Truttikon. Die Gemeinde hat das Volksbegehren mit 83,6 Prozent abgelehnt. Damit hat in Truttikon die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 57,1 Prozent.",43.5,56.5,"Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Truttikon. Die Gemeinde hat das Volksbegehren mit 56,5 Prozent abgelehnt. Damit sind in Truttikon im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,1 Prozent.",37.8,62.2,"62,2 Prozent der Stimmbürgerinnen und Stimmbürger von Truttikon haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",39,61,"Nein zum Massnahmenpaket zugunsten der Medien in Truttikon. Die Gemeinde hat die Vorlage mit 61 Prozent abgelehnt."
43,"Volken ZH",19.2,80.8,"In Volken hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 80,8 Prozent verworfen. Damit hat in Volken die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 62,7 Prozent.",39.4,60.6,"In Volken hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 60,6 Prozent verworfen. Damit sind in Volken im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 84,7 Prozent.",29,71,"Mit 88 Nein zu 36 Ja haben die Stimmbürgerinnen und Stimmbürger von Volken das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 71 Prozent.",30.6,69.4,"In Volken hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 69,4 Prozent verworfen."
51,"Bachenbülach ZH",18.6,81.4,"Nein zum Tier- und Menschenversuchsverbot in Bachenbülach: Mit 868 Nein- zu 198 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,4 Prozent. Damit hat in Bachenbülach die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 52,5 Prozent.",58.5,41.5,"58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Bachenbülach haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Bachenbülach seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 73,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",36.7,63.3,"In Bachenbülach hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 63,3 Prozent haben die Vorlage abgelehnt.",38.1,61.9,"Nein zum Massnahmenpaket zugunsten der Medien in Bachenbülach: Mit 644 Nein- zu 397 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 61,9 Prozent."
52,"Bassersdorf ZH",18.9,81.1,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Bassersdorf. Die Gemeinde hat das Volksbegehren mit 81,1 Prozent abgelehnt. Damit hat Bassersdorf seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 55,4 Prozent ein Ja in die Urne gelegt.",54,46,"Die Gemeinde Bassersdorf hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" mit 54 Prozent angenommen. Damit hat in Bassersdorf seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,5 Prozent ein Verbot der Tabakwerbung abgelehnt.",37.1,62.9,"62,9 Prozent der Stimmbürgerinnen und Stimmbürger von Bassersdorf haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",39.7,60.3,"Nein zum Massnahmenpaket zugunsten der Medien in Bassersdorf. Die Gemeinde hat die Vorlage mit 60,3 Prozent abgelehnt."
53,"Bülach ZH",19.5,80.5,"Bülach hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 80,5 Prozent abgelehnt. Damit hat Bülach seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 51 Prozent ein Ja in die Urne gelegt.",59.4,40.6,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Bülach. Die Gemeinde hat das Volksbegehren mit 59,4 Prozent der Stimmen angenommen. Damit hat in Bülach seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70 Prozent ein Verbot der Tabakwerbung abgelehnt.",34.1,65.9,"Bülach hat das Bundesgesetz über die Stempelabgaben mit 65,9 Prozent Nein-Stimmen verworfen.",39.6,60.4,"Bülach hat das Massnahmenpaket zugunsten der Medien mit 60,4 Prozent abgelehnt."
54,"Dietlikon ZH",18.1,81.9,"Nein zum Tier- und Menschenversuchsverbot in Dietlikon: Mit 1'790 Nein- zu 395 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,9 Prozent. Damit hat Dietlikon seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 55,2 Prozent ein Ja in die Urne gelegt.",56.1,43.9,"56,1 Prozent der Stimmbürgerinnen und Stimmbürger von Dietlikon haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Dietlikon seit der Abstimmung vom 28. November 1993 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,7 Prozent ein Verbot der Tabakwerbung abgelehnt.",37,63,"In Dietlikon hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 63 Prozent haben die Vorlage abgelehnt.",41,59,"Nein zum Massnahmenpaket zugunsten der Medien in Dietlikon: Mit 1'286 Nein- zu 895 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 59 Prozent."
